longitude,latitude,elevation,max_temperature,min_temperature,precipitation,wind,relative_humidity
1.3030393,-1.7842965,-2.052384,-1.632379,-0.3661773,-0.44198167,1.046984,0.03272782
1.3030393,-1.7842965,-2.049282,-1.6480981,-0.42517042,-0.3612204,1.1106482,-0.50270903
1.3030393,-1.7842965,-2.2560701,-1.6128982,-0.4467076,0.9421662,1.0271083,-0.21499863
1.3030393,-1.7842965,-2.17324,-1.6127639,-0.3071842,0.035352606,1.0021538,0.038979523
1.3030393,-1.7842965,-2.020906,-1.5244956,-0.30156583,0.167573,1.0375363,0.09592007
1.3030393,-1.7842965,-1.8422643,-1.4012961,-0.46262637,-0.29085237,0.92517436,0.28176463
1.3030393,-1.7842965,-1.8074548,-1.5746083,-0.44015276,-0.24858728,1.0233865,0.48105425
1.3030393,-1.7842965,-1.2794558,-1.5343032,-0.46543556,0.074913785,0.7476294,1.0985713
1.3030393,-1.7842965,-1.3956017,-1.2454494,-0.4607536,-0.10471928,0.5299018,0.48425633
1.3030393,-1.7842965,-0.98616123,-1.206622,-0.49540034,0.43200418,-0.26573485,1.3548131
1.3030393,-1.7842965,-1.1969702,-0.94410104,-0.33106235,-0.2841942,0.2769024,-0.34613246
1.3030393,-1.7842965,-0.80189,-1.0823478,-0.49540034,-0.13657354,0.2477705,0.82638586
1.3030393,-1.7842965,-0.9506626,-1.1285644,-0.49540034,-0.21254733,-0.017001648,0.83180964
1.3030393,-1.7842965,-1.2984114,-0.99340767,-0.49540034,-0.39431703,0.24937849,1.1997014
1.3030393,-1.7842965,-1.4336278,-1.1620177,-0.49540034,0.49511486,0.4012815,0.84867203
1.3030393,-1.7842965,-1.7337003,-1.1938587,-0.31607997,1.5712929,0.63978255,0.6998197
1.3030393,-1.7842965,-1.9096999,-1.335733,-0.36804998,1.0322766,0.5692901,-0.5164682
1.3030393,-1.7842965,-1.3889387,-1.1473734,-0.49446392,1.7017152,0.5723515,1.341671
1.3030393,-1.7842965,-1.4271945,-1.4304502,-0.49259114,-0.12000052,0.33548808,0.56232387
1.3030393,-1.7842965,-1.756562,-1.3484963,-0.46730837,0.34208602,0.65372396,-0.89740455
1.3030393,-1.7842965,-1.931183,-1.0904088,-0.10726308,0.75497675,1.1790293,-1.1679554
1.3030393,-1.7842965,-1.9192352,-1.1011568,0.46628106,0.77492076,1.1828352,-1.3754907
1.3030393,-1.7842965,-1.5902123,-1.0908117,-0.43874824,0.70284355,0.87187606,0.07084337
1.3030393,-1.7842965,-1.2930119,-1.0674349,-0.49259114,1.0527201,0.6373796,0.922342
1.3030393,-1.7842965,-1.8754653,-0.87088,0.20385563,1.4647609,1.2372931,-1.8990439
1.3030393,-1.7842965,-1.5186408,-1.6157196,-0.48884553,0.3179566,0.53956985,1.2630504
1.3030393,-1.7842965,-0.5879792,-1.1424025,-0.49540034,-0.311001,0.03972235,1.0195444
1.3030393,-1.7842965,-0.45379677,-0.44525734,-0.49540034,0.3600682,-0.36653414,1.0422707
1.3030393,-1.7842965,-1.1758319,-0.7713262,-0.49540034,0.6609193,-0.2453505,1.3766824
1.3030393,-1.7842965,-1.0647407,-0.7733414,-0.403165,0.8632995,0.26093376,-0.2865856
1.3030393,-1.7842965,-1.7673609,-0.90433323,0.33120567,1.1876576,1.1256125,-1.8580561
1.3030393,-1.7842965,-1.7377213,-0.85690755,-0.17047009,0.6908415,0.83818495,-0.887202
1.3030393,-1.7842965,-1.5863063,-1.0151725,-0.1952847,1.1536081,0.6567691,0.10994123
1.3030393,-1.7842965,-1.8557054,-1.0158442,0.087039694,0.52724266,0.9963814,-1.4953872
1.3030393,-1.7842965,-0.96307,-0.8513991,-0.47011757,0.63777465,0.4875292,-0.6928752
1.3030393,-1.7842965,-1.5448339,-1.135685,-0.17983392,0.28919953,0.8832913,-1.2331125
1.3030393,-1.7842965,-0.9201039,-1.1949335,-0.48182252,0.7175697,0.456628,0.35381362
1.3030393,-1.7842965,-0.58774936,-1.331971,-0.117329724,2.022459,0.5144123,0.32129496
1.3030393,-1.7842965,-1.4405208,-1.3909512,-0.49165472,0.5992738,0.12786075,0.87628615
1.3030393,-1.7842965,-1.1772105,-1.235373,-0.49259114,0.09541288,0.5010736,-0.3959455
1.3030393,-1.7842965,-0.8281981,-0.4628572,-0.48322713,0.388629,0.50895524,0.43494013
1.3030393,-1.7842965,-0.8152165,-0.6725785,-0.48322713,0.84114456,0.40025237,0.53483564
1.3030393,-1.7842965,-0.948365,-0.67741513,-0.49071833,0.9762824,0.41083798,0.91342115
1.3030393,-1.7842965,-1.0033937,-0.6404687,-0.48884553,0.8130844,0.460722,0.45176494
1.3030393,-1.7842965,-1.4410951,-0.6818487,-0.445303,1.0896957,0.5622853,-0.9023241
1.3030393,-1.7842965,-1.283132,-0.65121675,-0.39661026,0.36661333,0.62467915,-0.8371882
1.3030393,-1.7842965,-0.77787966,-0.6603526,-0.47479957,0.84164387,0.3988797,0.9671783
1.3030393,-1.7842965,-1.5911314,-0.78529865,-0.1442507,2.2066853,1.1123711,-1.6757164
1.3030393,-1.7842965,-0.7699527,-0.69259673,-0.49540034,1.3964858,0.3212384,0.8144035
1.3030393,-1.7842965,-0.7377858,-0.37996292,-0.49165472,1.1154146,0.15781921,-0.6109451
1.3030393,-1.7842965,-0.990297,-0.7114058,0.44521117,0.86888635,0.6070857,-1.1818404
1.3030393,-1.7842965,-1.5007191,-0.7286027,-0.015495806,0.2407905,1.1935711,-1.9260927
