longitude,latitude,elevation,max_temperature,min_temperature,precipitation,wind,relative_humidity
1.3030393,0.43304613,-2.0943158,-1.6600553,-0.42142484,-0.31092474,1.1641712,-0.58892566
1.3030393,0.43304613,-2.3085713,-1.676446,-0.42610678,0.9728049,1.0814756,-0.3528825
1.3030393,0.43304613,-2.0574389,-1.5767579,-0.25100037,0.2618675,1.095319,-0.1543804
1.3030393,0.43304613,-1.8422643,-1.3827556,-0.4401528,-0.3773753,0.99696475,0.17428763
1.3030393,0.43304613,-1.7795384,-1.5426329,-0.43734357,-0.089709274,1.0672914,0.48673317
1.3030393,0.43304613,-1.324145,-1.5678908,-0.47105396,0.25296065,0.81069416,1.1753315
1.3030393,0.43304613,-1.3401136,-1.2236845,-0.4607536,-0.36858913,0.6038163,0.5454544
1.3030393,0.43304613,-0.9960411,-1.2664081,-0.49540034,0.28253505,-0.16131735,1.3643514
1.3030393,0.43304613,-1.1944429,-0.9526995,-0.28798813,-0.54332995,0.3612425,-0.5482801
1.3030393,0.43304613,-0.8292321,-1.0468793,-0.49540034,0.20653039,0.34925982,0.8954344
1.3030393,0.43304613,-1.0405006,-1.2427623,-0.49540034,-0.14459844,0.069810756,0.7731785
1.3030393,0.43304613,-1.2752051,-0.9838688,-0.49540034,-0.8041129,0.25692457,0.7852406
1.3030393,0.43304613,-1.3726254,-1.1862009,-0.49540034,0.34795177,0.3637884,0.30334607
1.3030393,0.43304613,-1.6353611,-1.1591964,-0.29454294,1.5781981,0.5794667,0.67949027
1.3030393,0.43304613,-1.9492197,-1.3712015,-0.32123017,1.0610212,0.6186605,-0.7751266
1.3030393,0.43304613,-1.4369594,-1.1856633,-0.49259114,1.749803,0.63191134,1.2365583
1.3030393,0.43304613,-1.3604478,-1.470621,-0.49071833,-0.36273497,0.34823382,0.59105504
1.3030393,0.43304613,-1.6946404,-1.3170583,-0.4635628,0.19325647,0.6263373,-0.98022866
1.3030393,0.43304613,-1.8930422,-1.1124424,-0.123649865,0.7502111,1.1463476,-1.0539593
1.3030393,0.43304613,-1.8836218,-1.0906775,0.42461145,0.72215796,1.1565819,-1.3003983
1.3030393,0.43304613,-1.6058364,-1.0961859,-0.39145994,0.69248474,0.90931726,-0.3451658
1.3030393,0.43304613,-1.2166152,-1.0355937,-0.49352753,0.9335531,0.6170039,0.90231085
1.3030393,0.43304613,-1.9912665,-1.0517159,0.7972991,1.7527092,1.1769084,-2.0480072
1.3030393,0.43304613,-1.8565096,-0.8651029,0.17037939,1.452103,1.2326906,-1.8819504
1.3030393,0.43304613,-1.4291475,-1.6761773,-0.49352753,0.11808373,0.5085366,1.3339008
1.3030393,0.43304613,-0.53777564,-1.1225185,-0.49540034,0.13910769,-0.007530961,1.1484978
1.3030393,0.43304613,-0.38383332,-0.5487073,-0.49540034,-0.06993598,-0.38246813,1.0205939
1.3030393,0.43304613,-1.0387774,-0.6839983,-0.49540034,0.75177217,-0.38058883,1.3544995
1.3030393,0.43304613,-1.0915084,-0.70616615,-0.39426926,0.8021278,0.21976282,-0.59164953
1.3030393,0.43304613,-1.7579405,-0.88955474,0.26659423,1.1063254,1.0701406,-1.8269501
1.3030393,0.43304613,-1.7450738,-0.8868677,-0.087598704,0.57756215,0.8129344,-1.1187897
1.3030393,0.43304613,-1.586651,-1.0441922,-0.15080559,1.0962481,0.6757972,0.12033012
1.3030393,0.43304613,-1.8455958,-1.0251144,0.072057314,0.46958524,0.9724358,-1.4432315
1.3030393,0.43304613,-0.9380256,-0.8385015,-0.47667235,0.8899478,0.46847162,-0.60633886
1.3030393,0.43304613,-1.4870481,-1.0975294,-0.15501942,0.10518613,0.8340053,-1.0675985
1.3030393,0.43304613,-0.9403233,-1.2005763,-0.4743313,0.74411094,0.5057362,0.16566227
1.3030393,0.43304613,-0.59280425,-1.3917571,-0.028839229,2.1107903,0.5394424,0.39341715
1.3030393,0.43304613,-1.449022,-1.447244,-0.49352753,0.31953552,0.1442549,0.91260207
1.3030393,0.43304613,-1.1850226,-1.2514952,-0.46871296,0.10602201,0.5355506,-0.5859415
1.3030393,0.43304613,-0.8010858,-0.4933548,-0.47948155,0.30998376,0.52118427,0.35632882
1.3030393,0.43304613,-0.83187425,-0.6927311,-0.48229074,0.91920984,0.4070515,0.64470094
1.3030393,0.43304613,-0.9566365,-0.7032105,-0.48978195,1.033012,0.4132789,0.91197735
1.3030393,0.43304613,-1.0121247,-0.66451746,-0.47573596,0.91314286,0.48839912,0.23715286
1.3030393,0.43304613,-1.4918731,-0.72134775,-0.428916,1.2278703,0.6006871,-0.94154066
1.3030393,0.43304613,-1.3464322,-0.7003891,-0.34698105,0.47137073,0.6887776,-0.98697
1.3030393,0.43304613,-0.7316969,-0.65874034,-0.47760874,0.6472704,0.39796445,0.9674082
1.3030393,0.43304613,-1.6106615,-0.7648774,-0.076829925,2.1671479,1.101596,-1.6733294
1.3030393,0.43304613,-0.72342557,-0.74566525,-0.49540034,1.4474118,0.32165012,0.8873972
1.3030393,0.43304613,-0.740428,-0.47521743,-0.49259114,1.0822159,0.17275584,-0.42615885
1.3030393,0.43304613,-1.0529078,-0.7492927,0.39277413,0.9055122,0.64032245,-1.0969782
1.3030393,0.43304613,-1.4653354,-0.76595217,-0.10023996,0.113717005,1.1708413,-1.8481812
1.3030393,0.43304613,-1.3869855,-0.63173586,-0.16789463,0.3328791,0.89546806,-1.1523879
1.3030393,0.43304613,-1.6027346,-0.67969906,0.68492925,0.9652515,1.0711775,-1.511082
1.3030393,0.43304613,-1.7345046,-0.96667194,0.111854196,1.5309433,1.1970694,-1.7430482
1.3030393,0.43304613,-1.5734396,-0.71637684,0.309903,1.1317403,1.183785,-1.575949
1.3030393,0.43304613,-0.87564445,-0.66303957,-0.35072672,0.8373587,0.8066869,0.19594957
1.3030393,0.43304613,-0.88529456,-0.52318066,-0.03843754,1.1622491,0.61657983,0.1957409
1.3030393,0.43304613,-1.2868083,-0.62622756,-0.46168995,0.22844562,0.7650172,-1.0162305
1.3030393,0.43304613,-1.5859618,-0.5563652,-0.3928647,0.22940119,0.93142736,-1.5022259
1.3030393,0.43304613,-1.611006,-0.59358037,1.1376803,1.552956,1.2893974,-1.8897648
1.3030393,0.43304613,-1.5650532,-0.6457084,0.46979365,1.6684754,1.2386205,-1.9983205
