longitude,latitude,elevation,max_temperature,min_temperature,precipitation,wind,relative_humidity
1.3030393,0.43304613,-2.139235,-1.6721468,-0.41487002,-0.23917642,1.2170427,-0.67518014
1.3030393,0.43304613,-1.834682,-1.4101633,-0.41861564,-0.4315337,1.0676895,0.066774815
1.3030393,0.43304613,-1.7494392,-1.5109261,-0.43078882,0.08417775,1.1082475,0.4924257
1.3030393,0.43304613,-1.366077,-1.6055089,-0.47854516,0.44428837,0.8745021,1.252038
1.3030393,0.43304613,-1.2799153,-1.2748722,-0.46449918,-0.6366211,0.6734822,0.60662276
1.3030393,0.43304613,-0.9570961,-1.3267314,-0.49540034,0.13849197,-0.057441518,1.3738766
1.3030393,0.43304613,-1.1849077,-0.9611636,-0.24116805,-0.7887988,0.44466195,-0.75046563
1.3030393,0.43304613,-0.85634434,-1.0509098,-0.49540034,0.5472235,0.453223,0.9644832
1.3030393,0.43304613,-1.0394667,-1.356826,-0.49540034,0.29718927,0.16010444,0.7146889
1.3030393,0.43304613,-1.2274141,-0.98642147,-0.49540034,-0.8648345,0.26421478,0.37074235
1.3030393,0.43304613,-1.3119675,-1.2107869,-0.49540034,0.20958976,0.32585222,-0.24197437
1.3030393,0.43304613,-1.5246146,-1.1624207,-0.27441016,1.5877662,0.5190404,0.6592043
1.3030393,0.43304613,-1.9885093,-1.4068046,-0.27956036,1.1012975,0.66814715,-1.0337634
1.3030393,0.43304613,-1.4849801,-1.2243563,-0.49165472,1.7990628,0.6919804,1.1313814
1.3030393,0.43304613,-1.2885314,-1.5109261,-0.48790914,-0.57479095,0.36041713,0.619735
1.3030393,0.43304613,-1.6322594,-1.2852172,-0.4579444,0.11681118,0.59719145,-1.0630072
1.3030393,0.43304613,-1.8549012,-1.1354163,-0.14237787,0.7518643,1.1138134,-0.93990284
1.3030393,0.43304613,-1.8396219,-1.0799295,0.37264132,0.6720576,1.1297662,-1.2252914
1.3030393,0.43304613,-1.6201966,-1.1047843,-0.3357442,0.683118,0.9462685,-0.7611434
1.3030393,0.43304613,-1.1233307,-1.0881249,-0.49446392,0.8125536,0.59625024,0.88233674
1.3030393,0.43304613,-1.9511725,-1.0267266,0.78278434,1.6570493,1.1435341,-2.0057993
1.3030393,0.43304613,-1.8354862,-0.860938,0.13713716,1.445676,1.2270616,-1.8649386
1.3030393,0.43304613,-0.48699772,-1.1026348,-0.49540034,0.56344175,-0.05418702,1.2774727
1.3030393,0.43304613,-0.28009462,-0.6521572,-0.49540034,-0.53070986,-0.39725566,0.9988408
1.3030393,0.43304613,-0.8881668,-0.59640175,-0.49540034,0.8527567,-0.51076734,1.332383
1.3030393,0.43304613,-1.1183908,-0.6389909,-0.3816278,0.75392866,0.1789329,-0.89663863
1.3030393,0.43304613,-1.7485203,-0.8745074,0.19847108,1.0246559,1.0148041,-1.7959784
1.3030393,0.43304613,-1.7527708,-0.91682786,-0.006132046,0.47108027,0.7872656,-1.3503833
1.3030393,0.43304613,-1.5871106,-1.0788548,-0.10304915,1.0442933,0.6945821,0.13071093
1.3030393,0.43304613,-1.829742,-1.0431174,0.05894773,0.42459533,0.9483008,-1.3910211
1.3030393,0.43304613,-0.91229194,-0.82573813,-0.47948155,1.1479518,0.4492502,-0.5197876
1.3030393,0.43304613,-1.3614817,-1.0589708,-0.13160935,-0.07596518,0.7846112,-0.90211594
1.3030393,0.43304613,-0.9605425,-1.2064877,-0.466372,0.77919334,0.5548893,-0.022495376
1.3030393,0.43304613,-1.4461501,-1.5075673,-0.49259114,0.3068783,0.16134234,0.9488567
1.3030393,0.43304613,-1.1862862,-1.2930095,-0.4448349,0.13255693,0.5701019,-0.7759232
1.3030393,0.43304613,-0.7742035,-0.54843855,-0.47573596,0.26722762,0.5329214,0.27770185
1.3030393,0.43304613,-0.8484174,-0.71274936,-0.48229074,1.0033176,0.41321385,0.75451577
1.3030393,0.43304613,-0.9575556,-0.7288714,-0.48978195,1.10458,0.41537008,0.910585
1.3030393,0.43304613,-1.020626,-0.69891125,-0.46449918,1.0161409,0.5158183,0.022563001
1.3030393,0.43304613,-1.5423065,-0.76084685,-0.41487002,1.361978,0.639054,-0.9807945
1.3030393,0.43304613,-1.4037584,-0.74956137,-0.2968836,0.582981,0.75344783,-1.136723
1.3030393,0.43304613,-0.6791958,-0.6571282,-0.47854516,0.46357927,0.39885762,0.96761006
1.3030393,0.43304613,-1.6301914,-0.762056,-0.013154875,2.1289322,1.0904294,-1.6708579
1.3030393,0.43304613,-0.6772428,-0.7983306,-0.49540034,1.5033609,0.32324278,0.9604651
1.3030393,0.43304613,-0.7281355,-0.57047206,-0.49352753,1.0598332,0.18754897,-0.241393
1.3030393,0.43304613,-1.0944953,-0.7873139,0.34127235,0.95869213,0.6748758,-1.0121523
1.3030393,0.43304613,-1.4194973,-0.8031673,-0.1887297,-0.015887005,1.1474798,-1.7702086
1.3030393,0.43304613,-1.3997376,-0.6626366,-0.079405054,0.06731561,0.90732795,-1.4926416
1.3030393,0.43304613,-1.6173246,-0.7185264,0.7972978,0.6700944,1.0813022,-1.6107676
1.3030393,0.43304613,-1.7345046,-0.9878993,0.12777317,1.4210993,1.1966887,-1.747423
1.3030393,0.43304613,-1.5851576,-0.73626065,0.28415197,0.9818835,1.1801797,-1.6650381
1.3030393,0.43304613,-0.8655349,-0.7041509,-0.28611523,0.9123103,0.82930166,0.09530287
1.3030393,0.43304613,-0.9144747,-0.5441394,-0.1395688,1.2579514,0.61671036,0.18209343
1.3030393,0.43304613,-1.2696908,-0.5968048,-0.46730837,0.11616794,0.7515108,-1.0349836
1.3030393,0.43304613,-1.5763116,-0.56872547,-0.3994194,0.19043517,0.91227716,-1.5393748
1.3030393,0.43304613,-1.6192776,-0.6219283,1.4200033,1.4300154,1.2936114,-1.9359243
1.3030393,0.43304613,-1.561262,-0.66303957,0.57864815,1.5477842,1.2406741,-1.9918684
1.3030393,0.43304613,-1.7441547,-0.76124984,0.1619516,0.67339814,1.1176615,-1.7416487
1.3030393,0.43304613,-1.4459202,-0.8364862,1.2807139,0.53788894,1.1880448,-1.1817589
1.3030393,0.43304613,-1.4139829,-0.6469175,0.31224352,-0.26623356,1.0602653,-1.2954211
1.3030393,0.43304613,-1.4339725,-0.86268455,-0.32497576,0.37540016,0.99497736,-1.2947205
1.3030393,0.43304613,-1.575048,-0.8802845,-0.3762436,0.17105876,0.7076067,-1.1780014
1.3030393,0.43304613,-1.2366047,-1.1906344,-0.49071833,-0.4739689,0.6220845,-0.24075359
1.3030393,0.43304613,-1.6476536,-0.8116313,-0.14659177,-0.9283195,1.0144757,-1.9141124
1.3030393,0.43304613,-1.6415648,-0.9349652,0.7303447,0.43057215,1.0873971,-1.6214614
1.3030393,0.43304613,-1.2279885,-1.3605878,-0.48978195,-0.21857986,0.6963642,0.21089223
1.3030393,0.43304613,-1.7578256,-1.4592012,-0.39871708,0.60917836,1.000446,-1.4694833
1.3030393,0.43304613,-1.4304111,-1.664892,-0.49540034,-0.344466,0.38487363,-0.80207217
1.3030393,0.43304613,-1.6261705,-1.0556121,-0.47948155,-0.08588797,0.5298131,-0.98828095
1.3030393,0.43304613,-1.397325,-0.5769208,1.022971,1.1156793,1.2726641,-1.9875299
1.3030393,0.43304613,-1.2853147,-0.44686955,-0.17281076,1.1561446,1.2572501,-1.9526592
1.3030393,0.43304613,-1.4984214,-0.59331167,0.4185247,2.1469064,1.2083406,-2.2104025
1.3030393,0.43304613,-1.3831944,-0.87208915,0.020087443,0.25372788,1.0603358,-1.7807908
1.3030393,0.43304613,-1.931183,-1.2324175,-0.12692748,1.317437,1.0751165,-1.9697899
1.3030393,0.43304613,-1.9178567,-1.4332715,-0.43312982,0.46676692,0.8985535,-1.5018473
